"Fiona Mills","Q63929059","2019 European Parliament election in North West England","North West England","UK Independence Party"
"Fiona Mills","Q63929059","2019 United Kingdom general election","Carlisle","UK Independence Party"
"Gillian Troughton",,,,
"Jack Lenox","Q75975026","2019 United Kingdom general election","Copeland","Green Party of England and Wales"
"Michael Guest",,,,
"Rebecca Hanson","Q75838879","2019 United Kingdom general election","Bootle","Liberal Democrats"
"Roy Ivinson","Q76509407","2019 United Kingdom general election","Workington","independent politician"
