id,name,party,partyLabel,votes
Q28834855,Trudy Harrison,Q9626,Conservative Party (UK),13748
,Gillian Troughton,Q9630,Labour Party (UK),11601
,Rebecca Hanson,Q9624,Liberal Democrats (UK),2252
,Fiona Mills,Q10647,UK Independence Party,2025
,Michael Guest,Q327591,Independent politician,811
,Jack Lenox,Q9669,Green Party of England and Wales,515
,Roy Ivinson,Q327591,Independent politician,116
